"=""Burden Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Year""","=""Measure""","=""Metric""","=""Sex""","=""REI Name""","=""Cause Name""","=""Age Group Name""","=""Burden Mean""","=""Burden Mean Rounded""","=""Burden Upper""","=""Burden Lower""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Measure Name""","=""Metric Name"""
1311369,"=""country""","=""Afghanistan""","=""AFG""","=""country""","=""Afghanistan""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""21.5""","=""21.5""","=""74.5""","=""-16.1""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1311393,"=""country""","=""Afghanistan""","=""AFG""","=""country""","=""Afghanistan""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""7.33""","=""7.33""","=""29.5""","=""-5.91""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1311417,"=""country""","=""Afghanistan""","=""AFG""","=""country""","=""Afghanistan""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""5.19""","=""5.19""","=""20.9""","=""-4.18""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1311441,"=""country""","=""Afghanistan""","=""AFG""","=""country""","=""Afghanistan""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""4.49""","=""4.49""","=""17.9""","=""-3.77""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1297941,"=""country""","=""Albania""","=""ALB""","=""country""","=""Albania""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""4.55""","=""4.55""","=""23.8""","=""-4.17""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1297965,"=""country""","=""Albania""","=""ALB""","=""country""","=""Albania""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""4.53""","=""4.53""","=""24.7""","=""-4.16""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1297989,"=""country""","=""Albania""","=""ALB""","=""country""","=""Albania""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""4.97""","=""4.97""","=""26.8""","=""-4.31""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1298013,"=""country""","=""Albania""","=""ALB""","=""country""","=""Albania""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""6.12""","=""6.12""","=""29.7""","=""-5.43""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1306176,"=""country""","=""Algeria""","=""DZA""","=""country""","=""Algeria""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""6.79""","=""6.79""","=""31.5""","=""-5.98""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1306203,"=""country""","=""Algeria""","=""DZA""","=""country""","=""Algeria""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""6.53""","=""6.53""","=""30.2""","=""-6.06""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
